10 -2 -1.55556 -1.11111 -0.666667 -0.222222 0.222222 0.666667 1.11111 1.55556 2 
-1 2 1.55556 1.11111 0.666667 0.222222 -0.222222 -0.666667 -1.11111 -1.55556 -2 
-0.777778 1.55556 1.20988 0.864198 0.518519 0.17284 -0.17284 -0.518519 -0.864198 -1.20988 -1.55556 
-0.555556 1.11111 0.864198 0.617284 0.37037 0.123457 -0.123457 -0.37037 -0.617284 -0.864198 -1.11111 
-0.333333 0.666667 0.518519 0.37037 0.222222 0.0740741 -0.0740741 -0.222222 -0.37037 -0.518519 -0.666667 
-0.111111 0.222222 0.17284 0.123457 0.0740741 0.0246914 -0.0246914 -0.0740741 -0.123457 -0.17284 -0.222222 
0.111111 -0.222222 -0.17284 -0.123457 -0.0740741 -0.0246914 0.0246914 0.0740741 0.123457 0.17284 0.222222 
0.333333 -0.666667 -0.518519 -0.37037 -0.222222 -0.0740741 0.0740741 0.222222 0.37037 0.518519 0.666667 
0.555556 -1.11111 -0.864198 -0.617284 -0.37037 -0.123457 0.123457 0.37037 0.617284 0.864198 1.11111 
0.777778 -1.55556 -1.20988 -0.864198 -0.518519 -0.17284 0.17284 0.518519 0.864198 1.20988 1.55556 
1 -2 -1.55556 -1.11111 -0.666667 -0.222222 0.222222 0.666667 1.11111 1.55556 2 


100 -2 -1.9596 -1.91919 -1.87879 -1.83838 -1.79798 -1.75758 -1.71717 -1.67677 -1.63636 -1.59596 -1.55556 -1.51515 -1.47475 -1.43434 -1.39394 -1.35354 -1.31313 -1.27273 -1.23232 -1.19192 -1.15152 -1.11111 -1.07071 -1.0303 -0.989899 -0.949495 -0.909091 -0.868687 -0.828283 -0.787879 -0.747475 -0.707071 -0.666667 -0.626263 -0.585859 -0.545455 -0.505051 -0.464646 -0.424242 -0.383838 -0.343434 -0.30303 -0.262626 -0.222222 -0.181818 -0.141414 -0.10101 -0.0606061 -0.020202 0.020202 0.0606061 0.10101 0.141414 0.181818 0.222222 0.262626 0.30303 0.343434 0.383838 0.424242 0.464646 0.505051 0.545455 0.585859 0.626263 0.666667 0.707071 0.747475 0.787879 0.828283 0.868687 0.909091 0.949495 0.989899 1.0303 1.07071 1.11111 1.15152 1.19192 1.23232 1.27273 1.31313 1.35354 1.39394 1.43434 1.47475 1.51515 1.55556 1.59596 1.63636 1.67677 1.71717 1.75758 1.79798 1.83838 1.87879 1.91919 1.9596 2 
-1 2 1.9596 1.91919 1.87879 1.83838 1.79798 1.75758 1.71717 1.67677 1.63636 1.59596 1.55556 1.51515 1.47475 1.43434 1.39394 1.35354 1.31313 1.27273 1.23232 1.19192 1.15152 1.11111 1.07071 1.0303 0.989899 0.949495 0.909091 0.868687 0.828283 0.787879 0.747475 0.707071 0.666667 0.626263 0.585859 0.545455 0.505051 0.464646 0.424242 0.383838 0.343434 0.30303 0.262626 0.222222 0.181818 0.141414 0.10101 0.0606061 0.020202 -0.020202 -0.0606061 -0.10101 -0.141414 -0.181818 -0.222222 -0.262626 -0.30303 -0.343434 -0.383838 -0.424242 -0.464646 -0.505051 -0.545455 -0.585859 -0.626263 -0.666667 -0.707071 -0.747475 -0.787879 -0.828283 -0.868687 -0.909091 -0.949495 -0.989899 -1.0303 -1.07071 -1.11111 -1.15152 -1.19192 -1.23232 -1.27273 -1.31313 -1.35354 -1.39394 -1.43434 -1.47475 -1.51515 -1.55556 -1.59596 -1.63636 -1.67677 -1.71717 -1.75758 -1.79798 -1.83838 -1.87879 -1.91919 -1.9596 -2 
-0.979798 1.9596 1.92001 1.88042 1.84083 1.80124 1.76166 1.72207 1.68248 1.64289 1.60331 1.56372 1.52413 1.48454 1.44495 1.40537 1.36578 1.32619 1.2866 1.24702 1.20743 1.16784 1.12825 1.08866 1.04908 1.00949 0.969901 0.930313 0.890725 0.851138 0.81155 0.771962 0.732374 0.692786 0.653199 0.613611 0.574023 0.534435 0.494847 0.45526 0.415672 0.376084 0.336496 0.296908 0.257321 0.217733 0.178145 0.138557 0.0989695 0.0593817 0.0197939 -0.0197939 -0.0593817 -0.0989695 -0.138557 -0.178145 -0.217733 -0.257321 -0.296908 -0.336496 -0.376084 -0.415672 -0.45526 -0.494847 -0.534435 -0.574023 -0.613611 -0.653199 -0.692786 -0.732374 -0.771962 -0.81155 -0.851138 -0.890725 -0.930313 -0.969901 -1.00949 -1.04908 -1.08866 -1.12825 -1.16784 -1.20743 -1.24702 -1.2866 -1.32619 -1.36578 -1.40537 -1.44495 -1.48454 -1.52413 -1.56372 -1.60331 -1.64289 -1.68248 -1.72207 -1.76166 -1.80124 -1.84083 -1.88042 -1.92001 -1.9596 
-0.959596 1.91919 1.88042 1.84165 1.80288 1.76411 1.72533 1.68656 1.64779 1.60902 1.57025 1.53148 1.4927 1.45393 1.41516 1.37639 1.33762 1.29885 1.26008 1.2213 1.18253 1.14376 1.10499 1.06622 1.02745 0.988675 0.949903 0.911132 0.87236 0.833588 0.794817 0.756045 0.717274 0.678502 0.639731 0.600959 0.562188 0.523416 0.484644 0.445873 0.407101 0.36833 0.329558 0.290787 0.252015 0.213244 0.174472 0.1357 0.0969289 0.0581573 0.0193858 -0.0193858 -0.0581573 -0.0969289 -0.1357 -0.174472 -0.213244 -0.252015 -0.290787 -0.329558 -0.36833 -0.407101 -0.445873 -0.484644 -0.523416 -0.562188 -0.600959 -0.639731 -0.678502 -0.717274 -0.756045 -0.794817 -0.833588 -0.87236 -0.911132 -0.949903 -0.988675 -1.02745 -1.06622 -1.10499 -1.14376 -1.18253 -1.2213 -1.26008 -1.29885 -1.33762 -1.37639 -1.41516 -1.45393 -1.4927 -1.53148 -1.57025 -1.60902 -1.64779 -1.68656 -1.72533 -1.76411 -1.80288 -1.84165 -1.88042 -1.91919 
-0.939394 1.87879 1.84083 1.80288 1.76492 1.72697 1.68901 1.65106 1.6131 1.57515 1.53719 1.49923 1.46128 1.42332 1.38537 1.34741 1.30946 1.2715 1.23355 1.19559 1.15764 1.11968 1.08173 1.04377 1.00582 0.96786 0.929905 0.89195 0.853994 0.816039 0.778084 0.740129 0.702173 0.664218 0.626263 0.588307 0.550352 0.512397 0.474441 0.436486 0.398531 0.360575 0.32262 0.284665 0.24671 0.208754 0.170799 0.132844 0.0948883 0.056933 0.0189777 -0.0189777 -0.056933 -0.0948883 -0.132844 -0.170799 -0.208754 -0.24671 -0.284665 -0.32262 -0.360575 -0.398531 -0.436486 -0.474441 -0.512397 -0.550352 -0.588307 -0.626263 -0.664218 -0.702173 -0.740129 -0.778084 -0.816039 -0.853994 -0.89195 -0.929905 -0.96786 -1.00582 -1.04377 -1.08173 -1.11968 -1.15764 -1.19559 -1.23355 -1.2715 -1.30946 -1.34741 -1.38537 -1.42332 -1.46128 -1.49923 -1.53719 -1.57515 -1.6131 -1.65106 -1.68901 -1.72697 -1.76492 -1.80288 -1.84083 -1.87879 
-0.919192 1.83838 1.80124 1.76411 1.72697 1.68983 1.65269 1.61555 1.57841 1.54127 1.50413 1.46699 1.42985 1.39272 1.35558 1.31844 1.2813 1.24416 1.20702 1.16988 1.13274 1.0956 1.05846 1.02132 0.984185 0.947046 0.909907 0.872768 0.835629 0.79849 0.761351 0.724212 0.687073 0.649934 0.612795 0.575656 0.538516 0.501377 0.464238 0.427099 0.38996 0.352821 0.315682 0.278543 0.241404 0.204265 0.167126 0.129987 0.0928477 0.0557086 0.0185695 -0.0185695 -0.0557086 -0.0928477 -0.129987 -0.167126 -0.204265 -0.241404 -0.278543 -0.315682 -0.352821 -0.38996 -0.427099 -0.464238 -0.501377 -0.538516 -0.575656 -0.612795 -0.649934 -0.687073 -0.724212 -0.761351 -0.79849 -0.835629 -0.872768 -0.909907 -0.947046 -0.984185 -1.02132 -1.05846 -1.0956 -1.13274 -1.16988 -1.20702 -1.24416 -1.2813 -1.31844 -1.35558 -1.39272 -1.42985 -1.46699 -1.50413 -1.54127 -1.57841 -1.61555 -1.65269 -1.68983 -1.72697 -1.76411 -1.80124 -1.83838 
-0.89899 1.79798 1.76166 1.72533 1.68901 1.65269 1.61637 1.58004 1.54372 1.5074 1.47107 1.43475 1.39843 1.36211 1.32578 1.28946 1.25314 1.21681 1.18049 1.14417 1.10785 1.07152 1.0352 0.998878 0.962555 0.926232 0.889909 0.853586 0.817264 0.780941 0.744618 0.708295 0.671972 0.635649 0.599327 0.563004 0.526681 0.490358 0.454035 0.417712 0.38139 0.345067 0.308744 0.272421 0.236098 0.199776 0.163453 0.12713 0.0908071 0.0544842 0.0181614 -0.0181614 -0.0544842 -0.0908071 -0.12713 -0.163453 -0.199776 -0.236098 -0.272421 -0.308744 -0.345067 -0.38139 -0.417712 -0.454035 -0.490358 -0.526681 -0.563004 -0.599327 -0.635649 -0.671972 -0.708295 -0.744618 -0.780941 -0.817264 -0.853586 -0.889909 -0.926232 -0.962555 -0.998878 -1.0352 -1.07152 -1.10785 -1.14417 -1.18049 -1.21681 -1.25314 -1.28946 -1.32578 -1.36211 -1.39843 -1.43475 -1.47107 -1.5074 -1.54372 -1.58004 -1.61637 -1.65269 -1.68901 -1.72533 -1.76166 -1.79798 
-0.878788 1.75758 1.72207 1.68656 1.65106 1.61555 1.58004 1.54454 1.50903 1.47352 1.43802 1.40251 1.367 1.3315 1.29599 1.26048 1.22498 1.18947 1.15396 1.11846 1.08295 1.04744 1.01194 0.976431 0.940924 0.905418 0.869911 0.834405 0.798898 0.763391 0.727885 0.692378 0.656872 0.621365 0.585859 0.550352 0.514845 0.479339 0.443832 0.408326 0.372819 0.337313 0.301806 0.266299 0.230793 0.195286 0.15978 0.124273 0.0887665 0.0532599 0.0177533 -0.0177533 -0.0532599 -0.0887665 -0.124273 -0.15978 -0.195286 -0.230793 -0.266299 -0.301806 -0.337313 -0.372819 -0.408326 -0.443832 -0.479339 -0.514845 -0.550352 -0.585859 -0.621365 -0.656872 -0.692378 -0.727885 -0.763391 -0.798898 -0.834405 -0.869911 -0.905418 -0.940924 -0.976431 -1.01194 -1.04744 -1.08295 -1.11846 -1.15396 -1.18947 -1.22498 -1.26048 -1.29599 -1.3315 -1.367 -1.40251 -1.43802 -1.47352 -1.50903 -1.54454 -1.58004 -1.61555 -1.65106 -1.68656 -1.72207 -1.75758 
-0.858586 1.71717 1.68248 1.64779 1.6131 1.57841 1.54372 1.50903 1.47434 1.43965 1.40496 1.37027 1.33558 1.30089 1.2662 1.23151 1.19682 1.16213 1.12744 1.09275 1.05806 1.02336 0.988675 0.953984 0.919294 0.884604 0.849913 0.815223 0.780533 0.745842 0.711152 0.676462 0.641771 0.607081 0.572391 0.5377 0.50301 0.46832 0.433629 0.398939 0.364249 0.329558 0.294868 0.260178 0.225487 0.190797 0.156107 0.121416 0.0867258 0.0520355 0.0173452 -0.0173452 -0.0520355 -0.0867258 -0.121416 -0.156107 -0.190797 -0.225487 -0.260178 -0.294868 -0.329558 -0.364249 -0.398939 -0.433629 -0.46832 -0.50301 -0.5377 -0.572391 -0.607081 -0.641771 -0.676462 -0.711152 -0.745842 -0.780533 -0.815223 -0.849913 -0.884604 -0.919294 -0.953984 -0.988675 -1.02336 -1.05806 -1.09275 -1.12744 -1.16213 -1.19682 -1.23151 -1.2662 -1.30089 -1.33558 -1.37027 -1.40496 -1.43965 -1.47434 -1.50903 -1.54372 -1.57841 -1.6131 -1.64779 -1.68248 -1.71717 
-0.838384 1.67677 1.64289 1.60902 1.57515 1.54127 1.5074 1.47352 1.43965 1.40577 1.3719 1.33803 1.30415 1.27028 1.2364 1.20253 1.16866 1.13478 1.10091 1.06703 1.03316 0.999286 0.965412 0.931538 0.897664 0.863789 0.829915 0.796041 0.762167 0.728293 0.694419 0.660545 0.626671 0.592797 0.558923 0.525048 0.491174 0.4573 0.423426 0.389552 0.355678 0.321804 0.28793 0.254056 0.220182 0.186308 0.152433 0.118559 0.0846852 0.0508111 0.016937 -0.016937 -0.0508111 -0.0846852 -0.118559 -0.152433 -0.186308 -0.220182 -0.254056 -0.28793 -0.321804 -0.355678 -0.389552 -0.423426 -0.4573 -0.491174 -0.525048 -0.558923 -0.592797 -0.626671 -0.660545 -0.694419 -0.728293 -0.762167 -0.796041 -0.829915 -0.863789 -0.897664 -0.931538 -0.965412 -0.999286 -1.03316 -1.06703 -1.10091 -1.13478 -1.16866 -1.20253 -1.2364 -1.27028 -1.30415 -1.33803 -1.3719 -1.40577 -1.43965 -1.47352 -1.5074 -1.54127 -1.57515 -1.60902 -1.64289 -1.67677 
