40 -20 -18.9744 -17.9487 -16.9231 -15.8974 -14.8718 -13.8462 -12.8205 -11.7949 -10.7692 -9.74359 -8.71795 -7.69231 -6.66667 -5.64103 -4.61538 -3.58974 -2.5641 -1.53846 -0.512821 0.512821 1.53846 2.5641 3.58974 4.61538 5.64103 6.66667 7.69231 8.71795 9.74359 10.7692 11.7949 12.8205 13.8462 14.8718 15.8974 16.9231 17.9487 18.9744 20 
-20 -0.000849284 -0.000773095 -0.000203807 0.000691415 0.00153965 0.00192483 0.00157973 0.000508999 -0.00101342 -0.00256052 -0.00371662 -0.00421322 -0.00398737 -0.00315826 -0.0019527 -0.000620898 0.000625655 0.00164183 0.00234668 0.00270469 0.00270469 0.00234668 0.00164183 0.000625655 -0.000620898 -0.0019527 -0.00315826 -0.00398737 -0.00421322 -0.00371662 -0.00256052 -0.00101342 0.000508999 0.00157973 0.00192483 0.00153965 0.000691415 -0.000203807 -0.000773095 -0.000849284 
-18.9744 -0.000773095 -0.000158538 0.000805827 0.0016625 0.00190738 0.00125301 -0.000204712 -0.00200705 -0.00352427 -0.00421322 -0.00381358 -0.00240441 -0.000322831 0.00199208 0.00415076 0.00590519 0.00716762 0.00797409 0.00842327 0.00861695 0.00861695 0.00842327 0.00797409 0.00716762 0.00590519 0.00415076 0.00199208 -0.000322831 -0.00240441 -0.00381358 -0.00421322 -0.00352427 -0.00200705 -0.000204712 0.00125301 0.00190738 0.0016625 0.000805827 -0.000158538 -0.000773095 
-17.9487 -0.000203807 0.000805827 0.00169927 0.0018754 0.00100481 -0.000736171 -0.00269371 -0.00401991 -0.00405586 -0.0026118 -1.53216e-05 0.00306515 0.00590519 0.00797409 0.0090572 0.00923973 0.00880196 0.00809266 0.00742887 0.00703869 0.00703869 0.00742887 0.00809266 0.00880196 0.00923973 0.0090572 0.00797409 0.00590519 0.00306515 -1.53216e-05 -0.0026118 -0.00405586 -0.00401991 -0.00269371 -0.000736171 0.00100481 0.0018754 0.00169927 0.000805827 -0.000203807 
-16.9231 0.000691415 0.0016625 0.0018754 0.000913646 -0.00101342 -0.0030747 -0.00419313 -0.00358969 -0.00118663 0.00234668 0.00590519 0.00842327 0.00926436 0.00836681 0.00614144 0.00323193 0.00027604 -0.00224213 -0.00402995 -0.00494803 -0.00494803 -0.00402995 -0.00224213 0.00027604 0.00323193 0.00614144 0.00836681 0.00926436 0.00842327 0.00590519 0.00234668 -0.00118663 -0.00358969 -0.00419313 -0.0030747 -0.00101342 0.000913646 0.0018754 0.0016625 0.000691415 
-15.8974 0.00153965 0.00190738 0.00100481 -0.00101342 -0.00319416 -0.00422331 -0.00315826 -1.53216e-05 0.00415076 0.00772151 0.0092572 0.00809266 0.00450704 -0.00053812 -0.00587791 -0.010574 -0.0141303 -0.0164765 -0.0178078 -0.0183871 -0.0183871 -0.0178078 -0.0164765 -0.0141303 -0.010574 -0.00587791 -0.00053812 0.00450704 0.00809266 0.0092572 0.00772151 0.00415076 -1.53216e-05 -0.00315826 -0.00422331 -0.00319416 -0.00101342 0.00100481 0.00190738 0.00153965 
-14.8718 0.00192483 0.00125301 -0.000736171 -0.0030747 -0.00422331 -0.00298883 0.000625655 0.00521898 0.00861695 0.00896424 0.0056347 -0.00053812 -0.00775882 -0.0141303 -0.0183871 -0.0201971 -0.0200238 -0.0187524 -0.0173082 -0.0164 -0.0164 -0.0173082 -0.0187524 -0.0200238 -0.0201971 -0.0183871 -0.0141303 -0.00775882 -0.00053812 0.0056347 0.00896424 0.00861695 0.00521898 0.000625655 -0.00298883 -0.00422331 -0.0030747 -0.000736171 0.00125301 0.00192483 
-13.8462 0.00157973 -0.000204712 -0.00269371 -0.00419313 -0.00315826 0.000625655 0.00556554 0.00893533 0.00836681 0.00323193 -0.00494803 -0.0132767 -0.0189013 -0.0202219 -0.0173082 -0.0115052 -0.00464558 0.00164416 0.0062778 0.0086976 0.0086976 0.0062778 0.00164416 -0.00464558 -0.0115052 -0.0173082 -0.0202219 -0.0189013 -0.0132767 -0.00494803 0.00323193 0.00836681 0.00893533 0.00556554 0.000625655 -0.00315826 -0.00419313 -0.00269371 -0.000204712 0.00157973 
-12.8205 0.000508999 -0.00200705 -0.00401991 -0.00358969 -1.53216e-05 0.00521898 0.00893533 0.00809266 0.00181775 -0.00775882 -0.0164765 -0.020304 -0.0173082 -0.00831068 0.00392304 0.0162209 0.0262991 0.0332527 0.0372815 0.0390443 0.0390443 0.0372815 0.0332527 0.0262991 0.0162209 0.00392304 -0.00831068 -0.0173082 -0.020304 -0.0164765 -0.00775882 0.00181775 0.00809266 0.00893533 0.00521898 -1.53216e-05 -0.00358969 -0.00401991 -0.00200705 0.000508999 
-11.7949 -0.00101342 -0.00352427 -0.00405586 -0.00118663 0.00415076 0.00861695 0.00836681 0.00181775 -0.00870219 -0.0178078 -0.0200238 -0.0129179 0.00164416 0.0187688 0.0332527 0.0419458 0.0445701 0.0430237 0.0400139 0.0378679 0.0378679 0.0400139 0.0430237 0.0445701 0.0419458 0.0332527 0.0187688 0.00164416 -0.0129179 -0.0200238 -0.0178078 -0.00870219 0.00181775 0.00836681 0.00861695 0.00415076 -0.00118663 -0.00405586 -0.00352427 -0.00101342 
