-2.000000e+00 -9.953223e-01 -9.092974e-01
-1.750000e+00 -9.866717e-01 -9.839859e-01
-1.500000e+00 -9.661051e-01 -9.974950e-01
-1.250000e+00 -9.229001e-01 -9.489846e-01
-1.000000e+00 -8.427008e-01 -8.414710e-01
-7.500000e-01 -7.111556e-01 -6.816388e-01
-5.000000e-01 -5.204999e-01 -4.794255e-01
-2.500000e-01 -2.763264e-01 -2.474040e-01
0.000000e+00 0.000000e+00 0.000000e+00
2.500000e-01 2.763264e-01 2.474040e-01
5.000000e-01 5.204999e-01 4.794255e-01
7.500000e-01 7.111556e-01 6.816388e-01
1.000000e+00 8.427008e-01 8.414710e-01
1.250000e+00 9.229001e-01 9.489846e-01
1.500000e+00 9.661051e-01 9.974950e-01
1.750000e+00 9.866717e-01 9.839859e-01
2.000000e+00 9.953223e-01 9.092974e-01
