0 10 5
0.0580624 7.68848 7.03514
0.110203 5.53278 8.48476
0.163999 3.71032 9.2357
0.224576 2.31469 9.21198
0.279437 1.53643 8.66984
0.335927 1.04761 7.86337
0.397631 0.728763 6.89673
0.469191 0.515149 5.81332
0.555504 0.373655 4.65959
0.666076 0.282276 3.46546
0.796087 0.234817 2.42529
0.927565 0.218942 1.68387
1.0615 0.221722 1.16025
1.19688 0.238304 0.797293
1.33831 0.268348 0.540573
1.48851 0.314483 0.359812
1.65173 0.383038 0.233357
1.83397 0.48667 0.146145
2.04448 0.651546 0.0875231
2.29993 0.939678 0.0497212
2.64259 1.55151 0.0270226
2.97474 2.53453 0.0194047
3.30608 4.1395 0.0212359
3.62806 6.64627 0.0445408
3.86905 9.35568 0.146456
3.98494 10.8467 0.333482
4.06466 11.7745 0.647717
4.12861 12.2548 1.15498
4.18509 12.2416 1.95247
4.24222 11.5239 3.25612
4.29783 9.96786 5.02899
4.35954 7.49609 7.17989
4.41156 5.3649 8.57368
4.46521 3.59102 9.25849
4.52809 2.20185 9.16507
4.58379 1.45838 8.57238
4.64044 0.999519 7.74572
4.70329 0.696235 6.7601
4.77641 0.493582 5.6659
4.86518 0.359558 4.50583
4.98028 0.273458 3.30644
5.10689 0.232155 2.33413
5.23862 0.218645 1.61915
5.37244 0.223019 1.11608
5.50836 0.240987 0.76602
5.65056 0.272565 0.518524
5.80192 0.320718 0.344323
5.96683 0.392269 0.222594
6.15156 0.500857 0.138814
6.36584 0.67492 0.0826991
6.62775 0.983447 0.0467116
6.98429 1.65844 0.0254101
7.31401 2.70028 0.0191184
7.64292 4.39388 0.0223839
7.965 7.04814 0.0521271
8.16045 9.29087 0.142058
8.27554 10.7709 0.319006
8.35669 11.7274 0.623836
8.42133 12.2352 1.11696
8.47812 12.2554 1.89298
8.53556 11.5807 3.17231
8.59101 10.0767 4.916
8.65393 7.57985 7.11274
8.70592 5.44224 8.52876
8.75966 3.64586 9.24416
8.82141 2.25515 9.18398
8.87674 1.49519 8.61517
8.93333 1.02232 7.79805
8.99565 0.711707 6.82148
9.06806 0.503898 5.73254
9.15569 0.366362 4.57571
9.26863 0.277789 3.37932
9.39649 0.233726 2.37822
9.5281 0.219056 1.65047
9.662 0.222663 1.13745
9.79767 0.23998 0.781141
9.9395 0.270851 0.529179
10.0903 0.318083 0.351802
10.2544 0.388269 0.227786
10.438 0.494591 0.142345
10.6505 0.664426 0.0850179
10.9094 0.963469 0.0481557
11.2595 1.6089 0.0261798
11.5903 2.62343 0.0192784
11.9203 4.27585 0.0218778
12.2423 6.8616 0.0485308
12.4571 9.30078 0.143018
12.5721 10.7793 0.321299
12.653 11.7312 0.627597
12.7176 12.2346 1.12293
12.7743 12.2496 1.90232
12.8317 11.568 3.18545
12.8872 10.0557 4.93367
12.95 7.564 7.12178
13.002 5.42797 8.53357
13.0557 3.63587 9.24336
13.1177 2.24602 9.17744
13.1731 1.48891 8.60454
13.2297 1.01846 7.78577
13.2921 0.70913 6.80772
13.3647 0.502226 5.718
13.4526 0.365312 4.56084
13.5659 0.277183 3.36424
13.6935 0.233652 2.36926
13.8252 0.219202 1.64409
13.9591 0.22297 1.13307
14.0948 0.24044 0.778038
14.2367 0.271493 0.526988
14.3877 0.318971 0.350261
14.552 0.389525 0.226713
14.7358 0.496457 0.141612
14.9488 0.667418 0.0845351
15 0.717804 0.0751068


