0 0.466204 0.432366 0.466204 0.432366 -0.932407 -0.864731 0.970004 -0.243088 -0.970004 0.243088 0 0
0.114991 0.337442 0.456065 0.615932 0.381055 -0.953374 -0.83712 1.01601 -0.191813 -0.907977 0.290197 -0.108031 -0.0983839
0.220803 0.236208 0.464588 0.767199 0.294674 -1.00341 -0.759262 1.04623 -0.143028 -0.834866 0.326345 -0.21136 -0.183317
0.321971 0.151494 0.467022 0.910002 0.164687 -1.0615 -0.631709 1.06575 -0.0958739 -0.749926 0.350005 -0.315829 -0.254131
0.424534 0.0737208 0.467305 1.02924 -0.0171999 -1.10296 -0.450105 1.07725 -0.0479512 -0.65014 0.357966 -0.427111 -0.310015
0.522781 0.00311574 0.46721 1.09551 -0.224091 -1.09863 -0.243119 1.08101 -0.00204555 -0.545308 0.346265 -0.535702 -0.344219
0.61987 -0.0664862 0.467294 1.10488 -0.430247 -1.03839 -0.0370471 1.07795 0.0433184 -0.438056 0.314378 -0.639891 -0.357696
0.719122 -0.141093 0.467129 1.0685 -0.611077 -0.927404 0.143947 1.06769 0.0896968 -0.329914 0.262349 -0.737776 -0.352046
0.825028 -0.228701 0.464944 1.00822 -0.750626 -0.77952 0.285682 1.0482 0.139083 -0.219896 0.189722 -0.828303 -0.328806
0.939458 -0.337577 0.456048 0.953331 -0.837188 -0.615755 0.38114 1.01596 0.191872 -0.107906 0.0982719 -0.908058 -0.290144
1.06219 -0.475802 0.429909 0.93251 -0.864611 -0.456708 0.434702 0.966295 0.246483 0.00734338 -0.00681255 -0.973638 -0.23967
1.17594 -0.625128 0.37691 0.95578 -0.833798 -0.330652 0.456888 0.903865 0.292708 0.114357 -0.103924 -1.01822 -0.188784
1.28138 -0.776276 0.288077 1.00695 -0.752936 -0.23067 0.464859 0.830039 0.328167 0.217648 -0.18805 -1.04769 -0.140117
1.38233 -0.917999 0.155322 1.06473 -0.622402 -0.14673 0.46708 0.744406 0.350971 0.32225 -0.257923 -1.06666 -0.093048
1.48463 -1.03463 -0.0287299 1.10413 -0.438573 -0.0695004 0.467303 0.644176 0.357833 0.433491 -0.312589 -1.07767 -0.0452443
1.58274 -1.09757 -0.236352 1.09667 -0.230862 0.000899447 0.467214 0.539119 0.344965 0.541899 -0.345563 -1.08102 0.000598186
1.67985 -1.10384 -0.44161 1.03323 -0.0256938 0.070608 0.467304 0.431808 0.311912 0.645752 -0.357881 -1.07756 0.0459689
1.77937 -1.0654 -0.620426 0.91966 0.153337 0.145737 0.467088 0.323588 0.2587 0.743252 -0.351173 -1.06684 0.0924735
1.88576 -1.00458 -0.757178 0.770213 0.292498 0.234367 0.46468 0.213439 0.184887 0.833277 -0.326961 -1.04672 0.142074
2.00067 -0.950964 -0.840424 0.606254 0.385275 0.34471 0.455149 0.101342 0.0924937 0.912272 -0.287515 -1.01361 0.195021
2.12391 -0.932798 -0.864246 0.447891 0.436764 0.484907 0.427481 -0.0142441 -0.0132017 0.976988 -0.236461 -0.962744 0.249662
2.23694 -0.958334 -0.830226 0.323876 0.457654 0.634458 0.372572 -0.120762 -0.109483 1.02042 -0.18574 -0.899655 0.295223
2.34203 -1.01058 -0.746305 0.225117 0.465098 0.785461 0.281207 -0.224045 -0.192794 1.04914 -0.137186 -0.825094 0.32998
2.44277 -1.06795 -0.612759 0.141942 0.467117 0.926012 0.145642 -0.328787 -0.261697 1.06755 -0.0902048 -0.738763 0.351902
2.54482 -1.10517 -0.426737 0.0652446 0.467288 1.03992 -0.0405508 -0.439981 -0.315118 1.07807 -0.0425204 -0.638093 0.357639
2.6428 -1.09449 -0.218392 -0.00496118 0.467207 1.09945 -0.248815 -0.548191 -0.346841 1.08101 0.00325858 -0.532823 0.343582
2.73993 -1.02782 -0.0142241 -0.0747965 0.467303 1.10262 -0.453079 -0.651696 -0.357985 1.07716 0.0486401 -0.425461 0.309345
2.83974 -0.911676 0.162764 -0.150481 0.467031 1.06216 -0.629796 -0.748802 -0.350204 1.06596 0.0952785 -0.31716 0.254926
2.94663 -0.760714 0.299282 -0.240173 0.464384 1.00089 -0.763665 -0.8383 -0.32501 1.04518 0.145095 -0.206882 0.179915
3.06202 -0.59663 0.389353 -0.352027 0.454173 0.948657 -0.843526 -0.916512 -0.284778 1.01119 0.198195 -0.0946782 0.0865829
3.18577 -0.438999 0.438778 -0.494236 0.424889 0.933234 -0.863666 -0.980343 -0.233147 0.959084 0.252853 0.0212593 -0.0197055
3.29812 -0.316994 0.458408 -0.644026 0.367978 0.96102 -0.826386 -1.02263 -0.182586 0.895307 0.297741 0.12732 -0.115155
3.40286 -0.219451 0.465337 -0.794835 0.273983 1.01429 -0.73932 -1.0506 -0.134142 0.819988 0.33177 0.230614 -0.197628
3.5034 -0.137035 0.467159 -0.934103 0.135542 1.07114 -0.602701 -1.06844 -0.087245 0.732945 0.352775 0.3355 -0.26553
3.60519 -0.0608595 0.467279 -1.04516 -0.0527777 1.10602 -0.414501 -1.07847 -0.0396767 0.631832 0.357349 0.44664 -0.317673
3.70305 0.00916749 0.467205 -1.10118 -0.261593 1.09201 -0.205612 -1.08099 0.00604306 0.526354 0.342071 0.554637 -0.348114
3.80022 0.0791596 0.467302 -1.10121 -0.464751 1.02205 -0.00255127 -1.07672 0.0514453 0.418935 0.306615 0.657782 -0.35806
3.90035 0.15545 0.466963 -1.05875 -0.639256 0.903304 0.172293 -1.06502 0.0982311 0.31054 0.250953 0.754481 -0.349184
4.00777 0.246269 0.464045 -0.997137 -0.770118 0.750867 0.306073 -1.04355 0.148272 0.200123 0.174715 0.843426 -0.322987
4.12365 0.359713 0.45309 -0.946443 -0.846478 0.58673 0.393388 -1.00862 0.201525 0.0877976 0.0804368 0.920818 -0.281962
4.24791 0.50401 0.422051 -0.933907 -0.862789 0.429898 0.440738 -0.95521 0.25618 -0.0285202 -0.0264269 0.983731 -0.229753
4.3596 0.654051 0.362994 -0.963962 -0.822133 0.309911 0.459138 -0.890701 0.300371 -0.134162 -0.12102 1.02486 -0.179351
4.464 0.804597 0.266211 -1.01819 -0.731774 0.213597 0.465563 -0.814586 0.333626 -0.237488 -0.202608 1.05207 -0.131019
4.56432 0.94243 0.124769 -1.07438 -0.591966 0.131947 0.467197 -0.726804 0.353656 -0.342529 -0.269447 1.06933 -0.0842085
4.66587 1.05042 -0.0656993 -1.10671 -0.401574 0.0562899 0.467273 -0.625239 0.357003 -0.453608 -0.320246 1.07885 -0.036757
4.7636 1.10275 -0.274974 -1.08918 -0.192237 -0.0135727 0.467211 -0.519556 0.340441 -0.56137 -0.349347 1.08093 0.00890597
4.86084 1.09955 -0.476885 -1.01579 0.00957353 -0.0837584 0.467311 -0.412078 0.303705 -0.664136 -0.358044 1.07621 0.0543396
4.96133 1.0551 -0.649015 -0.894377 0.182119 -0.160722 0.466896 -0.303577 0.246733 -0.760406 -0.348024 1.06398 0.101291
5.0693 0.993242 -0.776682 -0.740481 0.313003 -0.252761 0.46368 -0.193013 0.169215 -0.848754 -0.320786 1.04177 0.151571
5.18571 0.944279 -0.849355 -0.576364 0.397454 -0.367915 0.451902 -0.080549 0.0739615 -0.925277 -0.278942 1.00583 0.204981
5.3105 0.934844 -0.861615 -0.420423 0.442676 -0.514421 0.41894 0.0361791 -0.0334663 -0.987214 -0.226147 0.951035 0.259614
5.42151 0.967235 -0.817406 -0.302502 0.459848 -0.664733 0.357558 0.141426 -0.127157 -1.02717 -0.175912 0.885739 0.303069
5.52555 1.0224 -0.723557 -0.207464 0.465771 -0.814939 0.257785 0.244795 -0.207788 -1.05358 -0.127705 0.808784 0.335492
5.62564 1.07776 -0.580402 -0.126609 0.467221 -0.951151 0.113181 0.349988 -0.273479 -1.07023 -0.080993 0.720238 0.354472
5.72691 1.1073 -0.387783 -0.0514856 0.467258 -1.05581 -0.0794745 0.460983 -0.322842 -1.0792 -0.03367 0.618221 0.356512
5.8245 1.08602 -0.178104 0.0182132 0.46721 -1.10423 -0.289106 0.568469 -0.35052 -1.08082 0.0119269 0.512352 0.338593
5.9218 1.00904 0.0222891 0.0886188 0.46731 -1.09766 -0.489599 0.670816 -0.357901 -1.07565 0.0573915 0.404829 0.300509
6.02267 0.884886 0.192345 0.166314 0.466806 -1.0512 -0.65915 0.766615 -0.346676 -1.06284 0.104516 0.296229 0.242161
6.13121 0.729556 0.320138 0.259657 0.463251 -0.989213 -0.78339 0.854306 -0.318351 -1.03984 0.155035 0.185532 0.163316
6.24815 0.565545 0.401599 0.376624 0.450559 -0.94217 -0.852157 0.929895 -0.275666 -1.00283 0.208592 0.0729304 0.0670733
6.37346 0.410605 0.444627 0.52542 0.415489 -0.936025 -0.860117 0.990791 -0.222282 -0.946575 0.263167 -0.0442165 -0.0408852
6.4838 0.294773 0.460575 0.676011 0.351582 -0.970783 -0.812157 1.02954 -0.172208 -0.880433 0.30585 -0.149106 -0.133642
6.58748 0.201032 0.465992 0.825782 0.248603 -1.02681 -0.714595 1.05513 -0.124122 -0.802587 0.337378 -0.252543 -0.213256
6.68734 0.120981 0.467255 0.960163 0.100667 -1.08114 -0.567922 1.07114 -0.0775057 -0.713236 0.355228 -0.357905 -0.277722
6.78834 0.0463878 0.467251 1.06121 -0.0941956 -1.1076 -0.373055 1.07956 -0.0303079 -0.61075 0.355872 -0.468805 -0.325564
6.88581 -0.023171 0.467214 1.10548 -0.304056 -1.0823 -0.163157 1.08068 0.0152313 -0.50469 0.33651 -0.575992 -0.351741
6.98322 -0.0938551 0.467305 1.09542 -0.502935 -1.00156 0.0356299 1.07501 0.0607465 -0.397107 0.29699 -0.677899 -0.357736
7.08453 -0.172384 0.466689 1.04695 -0.669671 -0.874561 0.202982 1.06158 0.108071 -0.288379 0.237166 -0.7732 -0.345238
7.1937 -0.267171 0.462736 0.984993 -0.790203 -0.717822 0.327467 1.0377 0.158851 -0.177528 0.156917 -0.860176 -0.315769
7.31122 -0.386134 0.44899 0.940151 -0.854781 -0.554016 0.405791 0.999511 0.212561 -0.0647476 0.0596412 -0.934763 -0.272203
7.43705 -0.537363 0.41154 0.937591 -0.858088 -0.400228 0.446548 0.941676 0.267036 0.0528577 -0.0488135 -0.994533 -0.218222
7.54673 -0.688237 0.344816 0.974798 -0.806086 -0.286561 0.461271 0.8746 0.30888 0.157431 -0.140564 -1.03203 -0.168316
7.65003 -0.837434 0.23831 1.03161 -0.704497 -0.194176 0.466187 0.795787 0.339419 0.260969 -0.219058 -1.05676 -0.120361
7.74966 -0.969684 0.0867857 1.08464 -0.554059 -0.114961 0.467273 0.705574 0.356018 0.366517 -0.282174 -1.07209 -0.0738444
7.85039 -1.06671 -0.110341 1.10761 -0.356899 -0.0409071 0.46724 0.6026 0.355131 0.477306 -0.328354 -1.07991 -0.0267763
7.94774 -1.10646 -0.320283 1.07793 -0.146939 0.0285317 0.467222 0.49635 0.334194 0.584156 -0.352903 -1.08051 0.0187089
8.0453 -1.0927 -0.517293 0.99314 0.0499866 0.0995605 0.467306 0.3887 0.293104 0.685584 -0.357398 -1.07428 0.0642944
8.14712 -1.04218 -0.680894 0.863128 0.214331 0.17905 0.466562 0.279824 0.231665 0.780338 -0.343518 -1.06016 0.111853
8.25698 -0.980444 -0.79734 0.704989 0.335191 0.275455 0.462149 0.16881 0.149899 0.86651 -0.312817 -1.03532 0.162917
8.37514 -0.93814 -0.857346 0.541493 0.410155 0.396647 0.44719 0.0558178 0.0515182 0.939996 -0.268308 -0.995813 0.21679
8.50149 -0.939531 -0.855549 0.389056 0.448504 0.550475 0.407045 -0.0622621 -0.0573896 0.998511 -0.21372 -0.936249 0.27111
8.61048 -0.979296 -0.79914 0.277661 0.461975 0.701635 0.337165 -0.166546 -0.148048 1.03469 -0.163991 -0.86814 0.312038
8.71339 -1.0368 -0.693144 0.186709 0.466378 0.850093 0.226766 -0.270205 -0.2253 1.05848 -0.116177 -0.788272 0.341477
8.81276 -1.08823 -0.538658 0.108374 0.467285 0.97986 0.0713734 -0.375939 -0.286918 1.07308 -0.0697708 -0.697138 0.356689
8.91319 -1.10726 -0.339165 0.0348787 0.467223 1.07238 -0.128059 -0.486578 -0.331277 1.08024 -0.0228432 -0.59366 0.354121
9.01043 -1.07277 -0.129336 -0.0344591 0.467222 1.10723 -0.337887 -0.593029 -0.354054 1.08026 0.0225853 -0.48723 0.331469
9.10816 -0.983633 0.0654247 -0.105908 0.467288 1.08954 -0.532713 -0.69392 -0.356924 1.07343 0.0682561 -0.379508 0.288668
9.21056 -0.850459 0.226407 -0.1865 0.46638 1.03696 -0.692787 -0.788057 -0.341547 1.05852 0.116075 -0.270467 0.225472
9.32115 -0.690966 0.343285 -0.28472 0.461413 0.975686 -0.804698 -0.873314 -0.309526 1.0326 0.167437 -0.159282 0.142089
