2,00 -0.12499994627456285
2,05 -0.12499994627456285
2,10 -0.12499994627456285
2,15 -0.12499994627456285
2,20 -0.12499994627456285
2,25 -0.12499994627456285
2,30 -0.12499994627456285
2,35 -0.12499994627456285
2,40 -0.12499994627456285
2,45 -0.12499994627456285
2,50 -0.12499994627456285
2,55 -0.12499994627456285
2,60 -0.12499994627456285
2,65 -0.12499994627456285
2,70 -0.12499994627456285
2,75 -0.12499994627456285
2,80 -0.12499994627456285
2,85 -0.12499994627456285
2,90 -0.12499994627456285
2,95 -0.12499994627456285
3,00 -0.4239672608555729
3,05 -0.4239672608555729
3,10 -0.4239672608555729
3,15 -0.4239672608555729
3,20 -0.4239672608555729
3,25 -0.4239672608555729
3,30 -0.4239672608555729
3,35 -0.4239672608555729
3,40 -0.4239672608555729
3,45 -0.4239672608555729
3,50 -0.4239672608555729
3,55 -0.4239672608555729
3,60 -0.4239672608555729
3,65 -0.4239672608555729
3,70 -0.4239672608555729
3,75 -0.4239672608555729
3,80 -0.4239672608555729
3,85 -0.4239672608555729
3,90 -0.4239672608555729
3,95 -0.4239672608555729
4,00 -0.4832652893173135
4,05 -0.4832652893173135
4,10 -0.4832652893173135
4,15 -0.4832652893173135
4,20 -0.4832652893173135
4,25 -0.4832652893173135
4,30 -0.4832652893173135
4,35 -0.4832652893173135
4,40 -0.4832652893173135
4,45 -0.4832652893173135
4,50 -0.4832652893173135
4,55 -0.4832652893173135
4,60 -0.4832652893173135
4,65 -0.4832652893173135
4,70 -0.4832652893173135
4,75 -0.4832652893173135
4,80 -0.4832652893173135
4,85 -0.4832652893173135
4,90 -0.4832652893173135
4,95 -0.4832652893173135
5,00 -0.4964169973414669
5,05 -0.4964169973414669
5,10 -0.4964169973414669
5,15 -0.4964169973414669
5,20 -0.4964169973414669
5,25 -0.4964169973414669
5,30 -0.4964169973414669
5,35 -0.4964169973414669
5,40 -0.4964169973414669
5,45 -0.4964169973414669
5,50 -0.4964169973414669
5,55 -0.4964169973414669
5,60 -0.4964169973414669
5,65 -0.4964169973414669
5,70 -0.4964169973414669
5,75 -0.4964169973414669
5,80 -0.4964169973414669
5,85 -0.4964169973414669
5,90 -0.4964169973414669
5,95 -0.4964169973414669
6,00 -0.4992772763936118
6,05 -0.4992772763936118
6,10 -0.4992772763936118
6,15 -0.4992772763936118
6,20 -0.4992772763936118
6,25 -0.4992772763936118
6,30 -0.4992772763936118
6,35 -0.4992772763936118
6,40 -0.4992772763936118
6,45 -0.4992772763936118
6,50 -0.4992772763936118
6,55 -0.4992772763936118
6,60 -0.4992772763936118
6,65 -0.4992772763936118
6,70 -0.4992772763936118
6,75 -0.4992772763936118
6,80 -0.4992772763936118
6,85 -0.4992772763936118
6,90 -0.4992772763936118
6,95 -0.4992772763936118
7,00 -0.49986256861443606
7,05 -0.49986256861443606
7,10 -0.49986256861443606
7,15 -0.49986256861443606
7,20 -0.49986256861443606
7,25 -0.49986256861443606
7,30 -0.49986256861443606
7,35 -0.49986256861443606
7,40 -0.49986256861443606
7,45 -0.49986256861443606
7,50 -0.49986256861443606
7,55 -0.49986256861443606
7,60 -0.49986256861443606
7,65 -0.49986256861443606
7,70 -0.49986256861443606
7,75 -0.49986256861443606
7,80 -0.49986256861443606
7,85 -0.49986256861443606
7,90 -0.49986256861443606
7,95 -0.49986256861443606
8,00 -0.49997509175454896
8,05 -0.49997509175454896
8,10 -0.49997509175454896
8,15 -0.49997509175454896
8,20 -0.49997509175454896
8,25 -0.49997509175454896
8,30 -0.49997509175454896
8,35 -0.49997509175454896
8,40 -0.49997509175454896
8,45 -0.49997509175454896
8,50 -0.49997509175454896
8,55 -0.49997509175454896
8,60 -0.49997509175454896
8,65 -0.49997509175454896
8,70 -0.49997509175454896
8,75 -0.49997509175454896
8,80 -0.49997509175454896
8,85 -0.49997509175454896
8,90 -0.49997509175454896
8,95 -0.49997509175454896
9,00 -0.4999956462145229
9,05 -0.4999956462145229
9,10 -0.4999956462145229
9,15 -0.4999956462145229
9,20 -0.4999956462145229
9,25 -0.4999956462145229
9,30 -0.4999956462145229
9,35 -0.4999956462145229
9,40 -0.4999956462145229
9,45 -0.4999956462145229
9,50 -0.4999956462145229
9,55 -0.4999956462145229
