80 0.01 0.02
90 0.01 0.03
100 0.01 0.04
110 0.02 0.05
120 0.03 0.07
130 0.04 0.09
140 0.05 0.12
150 0.06 0.15
160 0.07 0.18
170 0.09 0.21
180 0.10 0.26
190 0.12 0.30
200 0.14 0.35
210 0.17 0.40
220 0.19 0.47
230 0.22 0.54
240 0.25 0.62
250 0.29 0.71
260 0.32 0.78
270 0.36 0.90
280 0.41 1.00
290 0.45 1.12
300 0.50 1.20
