-5 0.00673795 0 0.00673795
-3.88889 0.0204681 0.0137301 0.0204681
-2.77778 0.0621765 0.0554386 0.0621765
-1.66667 0.188876 0.182138 0.188876
-0.555556 0.573753 0.567015 0.573753
0.555556 1.74291 1.73617 1.74291
1.66667 5.29449 5.28775 5.29449
2.77778 16.0832 16.0765 16.0832
3.88889 48.8566 48.8498 48.8566
5 148.413 148.406 148.413


-5 0.00673795 0 0.0123571 0.00673795 0 22.6188 0.00673795 
-4.89899 0.00798614 0.000743641 0.0123571 2.08388 0.109081 18.5085 0.00705773 
-4.79798 0.00923433 0.00161336 0.0123571 3.74584 0.407006 14.3983 0.00793456 
-4.69697 0.0104825 0.00260916 0.0123571 4.99262 0.851837 10.288 0.00924465 
-4.59596 0.0117307 0.00373104 0.0123571 5.82422 1.40164 6.17775 0.0108642 
-4.49495 0.0129789 0.00497901 0.0123571 6.24065 2.01447 2.06749 0.0126694 
-4.39394 0.0142271 0.00635305 0.0123571 6.2419 2.64839 -2.04277 0.0145366 
-4.29293 0.0154753 0.00785317 0.0123571 5.82797 3.26148 -6.15304 0.0163418 
-4.19192 0.0167235 0.00947937 0.0123571 4.99886 3.81178 -10.2633 0.0179614 
-4.09091 0.0179717 0.0112317 0.0123571 3.75457 4.25737 -14.3736 0.0192715 
-3.9899 0.0192199 0.01311 0.0123571 2.09511 4.5563 -18.4838 0.0201483 
-3.88889 0.0204681 0.0151145 0.0375376 0.0204681 4.66665 -22.5941 0.0204681 
-3.78788 0.0242598 0.0173734 0.0375376 -2.05394 4.56045 -18.4792 0.0214395 
-3.68687 0.0280514 0.0200154 0.0375376 -3.71271 4.2657 -14.3644 0.0241031 
-3.58586 0.0318431 0.0230404 0.0375376 -4.95584 3.8244 -10.2496 0.0280828 
-3.48485 0.0356348 0.0264484 0.0375376 -5.78333 3.27852 -6.13472 0.0330025 
-3.38384 0.0394265 0.0302393 0.0375376 -6.19518 2.67004 -2.01988 0.0384864 
-3.28283 0.0432181 0.0344133 0.0375376 -6.19139 2.04096 2.09496 0.0441582 
-3.18182 0.0470098 0.0389703 0.0375376 -5.77196 1.43325 6.2098 0.0496421 
-3.08081 0.0508015 0.0439102 0.0375376 -4.93688 0.888903 10.3246 0.0545618 
-2.9798 0.0545932 0.0492332 0.0375376 -3.68617 0.449896 14.4395 0.0585415 
-2.87879 0.0583848 0.0549392 0.0375376 -2.01982 0.158216 18.5543 0.0612051 
-2.77778 0.0621765 0.0610281 0.114029 0.0621765 0.055847 22.6692 0.0621765 
-2.67677 0.0736946 0.0678903 0.114029 2.14487 0.170801 18.5682 0.0651274 
-2.57576 0.0852127 0.0759159 0.114029 3.81333 0.475207 14.4673 0.0732187 
-2.47475 0.0967308 0.085105 0.114029 5.06756 0.927224 10.3664 0.0853079 
-2.37374 0.108249 0.0954575 0.114029 5.90755 1.48501 6.26543 0.100253 
-2.27273 0.119767 0.106973 0.114029 6.3333 2.10672 2.1645 0.116911 
-2.17172 0.131285 0.119653 0.114029 6.34482 2.75052 -1.93644 0.134141 
-2.07071 0.142803 0.133496 0.114029 5.9421 3.37455 -6.03737 0.150799 
-1.9697 0.154321 0.148502 0.114029 5.12515 3.93699 -10.1383 0.165744 
-1.86869 0.165839 0.164672 0.114029 3.89396 4.39599 -14.2392 0.177833 
-1.76768 0.177358 0.182005 0.114029 2.24854 4.7097 -18.3402 0.185925 
-1.66667 0.188876 0.200502 0.34639 0.188876 4.83629 -22.4411 0.188876 
-1.56566 0.223864 0.221347 0.34639 -1.86865 4.74793 -18.2979 0.19784 
-1.46465 0.258853 0.245727 0.34639 -3.50767 4.47288 -14.1547 0.222419 
-1.36364 0.293842 0.273641 0.34639 -4.72819 4.0534 -10.0116 0.259143 
-1.26263 0.328831 0.305089 0.34639 -5.53021 3.53178 -5.86838 0.304541 
-1.16162 0.36382 0.340071 0.34639 -5.91373 2.95028 -1.7252 0.355145 
-1.06061 0.398809 0.378588 0.34639 -5.87874 2.35118 2.41798 0.407484 
