0 1 0
0.698132 0.766044 0.642788
1.39626 0.173648 0.984808
2.0944 -0.5 0.866025
2.79253 -0.939693 0.34202
3.49066 -0.939693 -0.34202
4.18879 -0.5 -0.866025
4.88692 0.173648 -0.984808
5.58505 0.766044 -0.642788
6.28319 1 -2.44929e-16


0 1 0
0.0634665 0.978731 0.0627916
0.126933 0.957463 0.124233
0.1904 0.936194 0.184325
0.253866 0.914925 0.243067
0.317333 0.893657 0.300459
0.380799 0.872388 0.356502
0.444266 0.851119 0.411194
0.507732 0.829851 0.464537
0.571199 0.808582 0.51653
0.634665 0.787313 0.567173
0.698132 0.766044 0.616466
0.761598 0.71219 0.663375
0.825065 0.658336 0.706866
0.888531 0.604482 0.74694
0.951998 0.550628 0.783595
1.01546 0.496773 0.816832
1.07893 0.442919 0.846652
1.1424 0.389065 0.873054
1.20586 0.335211 0.896037
1.26933 0.281357 0.915603
1.3328 0.227502 0.931751
1.39626 0.173648 0.94448
1.45973 0.112407 0.953558
1.5232 0.0511667 0.958749
1.58666 -0.0100741 0.960053
1.65013 -0.0713148 0.95747
1.7136 -0.132556 0.951
1.77706 -0.193796 0.940644
1.84053 -0.255037 0.926401
1.904 -0.316278 0.908272
1.96746 -0.377519 0.886255
2.03093 -0.438759 0.860352
2.0944 -0.5 0.830562
2.15786 -0.539972 0.79756
2.22133 -0.579944 0.762022
2.28479 -0.619916 0.723946
2.34826 -0.659888 0.683334
2.41173 -0.69986 0.640185
2.47519 -0.739832 0.594499
2.53866 -0.779804 0.546276
2.60213 -0.819776 0.495516
2.66559 -0.859749 0.442219
2.72906 -0.899721 0.386385
2.79253 -0.939693 0.328015
2.85599 -0.939693 0.268376
2.91946 -0.939693 0.208737
2.98293 -0.939693 0.149098
3.04639 -0.939693 0.0894585
3.10986 -0.939693 0.0298195
3.17333 -0.939693 -0.0298195
3.23679 -0.939693 -0.0894585
3.30026 -0.939693 -0.149098
3.36373 -0.939693 -0.208737
3.42719 -0.939693 -0.268376
3.49066 -0.939693 -0.328015
3.55413 -0.899721 -0.386385
3.61759 -0.859749 -0.442219
3.68106 -0.819776 -0.495516
3.74452 -0.779804 -0.546276
3.80799 -0.739832 -0.594499
3.87146 -0.69986 -0.640185
3.93492 -0.659888 -0.683334
3.99839 -0.619916 -0.723946
4.06186 -0.579944 -0.762022
4.12532 -0.539972 -0.79756
4.18879 -0.5 -0.830562
4.25226 -0.438759 -0.860352
4.31572 -0.377519 -0.886255
4.37919 -0.316278 -0.908272
4.44266 -0.255037 -0.926401
4.50612 -0.193796 -0.940644
4.56959 -0.132556 -0.951
4.63306 -0.0713148 -0.95747
4.69652 -0.0100741 -0.960053
4.75999 0.0511667 -0.958749
4.82346 0.112407 -0.953558
4.88692 0.173648 -0.94448
4.95039 0.227502 -0.931751
5.01385 0.281357 -0.915603
5.07732 0.335211 -0.896037
5.14079 0.389065 -0.873054
5.20425 0.442919 -0.846652
5.26772 0.496773 -0.816832
5.33119 0.550628 -0.783595
5.39465 0.604482 -0.74694
5.45812 0.658336 -0.706866
5.52159 0.71219 -0.663375
5.58505 0.766044 -0.616466
5.64852 0.787313 -0.567173
5.71199 0.808582 -0.51653
5.77545 0.829851 -0.464537
5.83892 0.851119 -0.411194
5.90239 0.872388 -0.356502
5.96585 0.893657 -0.300459
6.02932 0.914925 -0.243067
6.09279 0.936194 -0.184325
6.15625 0.957463 -0.124233
6.21972 0.978731 -0.0627916
6.28319 1 -5.55112e-16
